"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"panM__HW372_RS01390_rc_299871",0,0,0,0,0,0,0,0
"livK__HW372_RS01395_300295",0,0,0,0,0,0,0,0
"livH__HW372_RS01400_301452",0,0,0,0,0,0,0,0
"livM__HW372_RS01405_302375",0,0,0,0,0,0,0,0
"livG__HW372_RS01410_303649",0,0,0,0,0,0,0,0
"livF__HW372_RS01415_304418",0,0,0,0,0,0,0,0
"ugpB__HW372_RS01420_305528",0,0,0,0,0,0,0,0
"ugpA__HW372_RS01425_306942",0,0,0,0,0,0,0,0
"ugpE__HW372_RS01430_307826",0,0,0,0,0,0,0,0
"ugpC__HW372_RS01435_308673",0,0,0,0,0,0,0,0
"ugpQ__HW372_RS01440_309740",0,0,0,0,0,2082.99,0,0
"yhhA__HW372_RS01445_rc_310910",0,0,0,0,0,0,0,0
"ggt__HW372_RS01450_311030",0,0,0,0,0,0,0,0
"yrhB__HW372_RS01455_rc_313085",0,0,0,0,0,0,0,0
"HW372_RS01460__HW372_RS01460_rc_313440",0,0,0,0,0,0,0,0
"yrhA__HW372_RS01465_rc_314029",0,0,0,0,0,0,0,0
"tssD__HW372_RS01470_rc_315204",0,0,0,0,0,0,0,0
"yhhY__HW372_RS01475_rc_315928",0,0,0,0,0,0,0,0
"yhhX__HW372_RS01480_316262",0,0,0,0,0,0,0,0
"yhhW__HW372_RS01485_317422",0,0,0,0,0,0,0,0
"gntR__HW372_RS01490_318210",0,0,0,0,0,0,0,0
"gntK__HW372_RS01495_319344",0,0,0,0,0,0,0,0
"gntU__HW372_RS01500_319875",0,0,0,0,0,0,0,0
"HW372_RS01505__HW372_RS01505_321356",0,0,0,0,0,0,0,0
"HW372_RS01510__HW372_RS01510_323359",0,0,0,0,0,0,0,0
"yhgN__HW372_RS01515_rc_325293",0,0,2352.46,0,0,0,0,0
"asd__HW372_RS01520_325485",0,0,0,0,0,0,0,0
"glgB__HW372_RS01530_326861",0,0,0,0,0,0,0,0
"glgX__HW372_RS01535_329044",0,0,0,0,0,0,0,0
"glgC__HW372_RS01540_331035",0,0,0,0,0,0,0,0
"glgA__HW372_RS01545_332330",0,0,0,0,0,0,0,1127.01
"glgP__HW372_RS01550_333782",0,0,0,0,0,0,0,660.378
"HW372_RS01555__HW372_RS01555_336724",0,0,0,0,0,0,0,0
"HW372_RS01560__HW372_RS01560_337529",0,0,0,0,0,0,0,0
"HW372_RS01565__HW372_RS01565_338318",0,0,0,0,0,0,0,0
"HW372_RS01570__HW372_RS01570_340912",0,0,0,0,0,0,0,0
"HW372_RS01575__HW372_RS01575_341426",0,0,0,0,0,0,0,0
"HW372_RS01580__HW372_RS01580_341964",0,0,0,0,0,0,0,0
"HW372_RS01585__HW372_RS01585_342759",0,0,0,0,0,0,0,0
"HW372_RS01590__HW372_RS01590_344063",0,0,0,0,0,0,0,0
"HW372_RS01595__HW372_RS01595_344776",0,0,0,0,0,0,0,0
"HW372_RS01600__HW372_RS01600_345546",0,0,0,0,0,0,0,0
"glpD__HW372_RS01605_rc_347710",0,0,0,0,1132.67,0,0,0
"glpE__HW372_RS01610_347900",0,0,0,0,0,0,0,0
"glpG__HW372_RS01615_348271",0,0,0,0,0,0,0,0
"HW372_RS01620__HW372_RS01620_349118",0,0,0,0,0,0,0,0
"rtcR__HW372_RS01625_rc_351456",0,0,0,0,0,0,0,0
"rtcB__HW372_RS01630_351645",0,0,0,0,0,0,0,0
"rtcA__HW372_RS01635_352875",0,0,0,0,0,0,0,0
"malT__HW372_RS01640_rc_356639",0,0,0,0,0,0,0,0
"malP__HW372_RS01645_357262",0,0,0,0,0,0,0,0
"malQ__HW372_RS01650_359665",0,0,0,0,0,0,0,0
"gntT__HW372_RS01655_rc_363176",0,0,0,0,0,0,0,0
