"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"HW372_RS01265__HW372_RS01265_rc_277264",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01270__HW372_RS01270_rc_277734",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01275__HW372_RS01275_rc_278505",NA,NA,NA,NA,NA,NA,NA,NA
"nikR__HW372_RS01280_rc_279105",NA,NA,NA,NA,NA,NA,NA,NA
"nikE__HW372_RS01285_rc_279917",NA,NA,NA,NA,NA,NA,NA,NA
"nikD__HW372_RS01290_rc_280678",NA,NA,NA,NA,NA,NA,NA,NA
"nikC__HW372_RS01295_rc_281511",NA,NA,NA,NA,NA,NA,NA,NA
"nikB__HW372_RS01300_rc_282452",NA,NA,NA,NA,NA,NA,NA,NA
"nikA__HW372_RS01305_rc_284026",NA,NA,NA,NA,NA,NA,NA,NA
"acpT__HW372_RS01310_rc_284724",NA,NA,NA,NA,NA,NA,NA,NA
"yhhT__HW372_RS01315_rc_285828",NA,NA,NA,NA,NA,NA,NA,NA
"yhhS__HW372_RS01320_285927",NA,NA,NA,NA,NA,NA,NA,NA
"dcrB__HW372_RS01325_rc_287738",NA,NA,NA,NA,NA,NA,NA,NA
"yhhQ__HW372_RS01330_rc_288476",NA,NA,NA,NA,NA,NA,NA,NA
"tusA__HW372_RS01335_288697",NA,NA,NA,NA,NA,NA,NA,NA
"zntA__HW372_RS01340_rc_291401",NA,NA,NA,NA,NA,NA,NA,NA
"yhhN__HW372_RS01345_rc_292101",NA,NA,NA,NA,NA,NA,NA,NA
"yhhM__HW372_RS01350_292242",NA,NA,NA,NA,NA,NA,NA,NA
"yhhL__HW372_RS01355_rc_292873",NA,NA,NA,NA,NA,NA,NA,NA
"rsmD__HW372_RS01360_rc_293459",NA,NA,NA,NA,NA,NA,NA,NA
"ftsY__HW372_RS01365_293609",NA,NA,NA,NA,NA,NA,NA,NA
"ftsE__HW372_RS01370_295108",NA,NA,NA,NA,NA,NA,NA,NA
"ftsX__HW372_RS01375_295769",NA,NA,NA,NA,NA,NA,NA,NA
"rpoH__HW372_RS01380_297072",NA,NA,NA,NA,NA,NA,NA,NA
"livJ__HW372_RS01385_298197",NA,NA,NA,NA,NA,NA,NA,NA
"panM__HW372_RS01390_rc_299871",NA,NA,NA,NA,NA,NA,NA,NA
"livK__HW372_RS01395_300295",NA,NA,NA,NA,NA,NA,NA,NA
"livH__HW372_RS01400_301452",NA,NA,NA,NA,NA,NA,NA,NA
"livM__HW372_RS01405_302375",NA,NA,NA,NA,NA,NA,NA,NA
"livG__HW372_RS01410_303649",NA,NA,NA,NA,NA,NA,NA,NA
"livF__HW372_RS01415_304418",NA,NA,NA,NA,NA,NA,NA,NA
"ugpB__HW372_RS01420_305528",NA,NA,NA,NA,NA,NA,NA,NA
"ugpA__HW372_RS01425_306942",NA,NA,NA,NA,NA,NA,NA,NA
"ugpE__HW372_RS01430_307826",NA,NA,NA,NA,NA,NA,NA,NA
"ugpC__HW372_RS01435_308673",NA,NA,NA,NA,NA,NA,NA,NA
"ugpQ__HW372_RS01440_309740",NA,NA,NA,NA,NA,NA,NA,NA
"yhhA__HW372_RS01445_rc_310910",NA,NA,NA,NA,NA,NA,NA,NA
"ggt__HW372_RS01450_311030",NA,NA,NA,NA,NA,NA,NA,NA
"yrhB__HW372_RS01455_rc_313085",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS01460__HW372_RS01460_rc_313440",NA,NA,NA,NA,NA,NA,NA,NA
"yrhA__HW372_RS01465_rc_314029",NA,NA,NA,NA,NA,NA,NA,NA
"tssD__HW372_RS01470_rc_315204",NA,NA,NA,NA,NA,NA,NA,NA
"yhhY__HW372_RS01475_rc_315928",NA,NA,NA,NA,NA,NA,NA,NA
"yhhX__HW372_RS01480_316262",NA,NA,NA,NA,NA,NA,NA,NA
"yhhW__HW372_RS01485_317422",NA,NA,NA,NA,NA,NA,NA,NA
